"Year","Tonnes"
1961,5434451
1962,5544190
1963,5669202
1964,5933309
1965,6306416
1966,6706600
1967,6946516
1968,7103070
1969,7362247
1970,7745204
1971,8106505
1972,8521733
1973,8880390
1974,9302481
1975,9439185
1976,10047522
1977,10372733
1978,10813538
1979,11252646
1980,11514632
1981,11695894
1982,12081148
1983,12420685
1984,12726537
1985,13157457
1986,13385545
1987,13821962
1988,14244733
1989,14446216
1990,14830224
1991,14269759
1992,13942298
1993,14115160
1994,14447226
1995,14580650
1996,14927950
1997,15256339
1998,15602427
1999,15997655
2000,16589703
2001,16942820
2002,17317078
2003,17565877
2004,18133013
2005,18724227
2006,19116185
2007,19512211
2008,19828474
2009,20038511
2010,20585319
2011,20749692
2012,21250765
2013,21860648
2014,22651606
