Year,Human,Chicken
1961,3091843507,6577869
1962,3150420795,6853536
1963,3211001009,7219918
1964,3273978338,7495146
1965,3339583597,8120139
1966,3407922630,8277472
1967,3478769962,9159074
1968,3551599127,9474670
1969,3625680627,10158324
1970,3700437046,11034188
1971,3775759617,11390271
1972,3851650245,12169120
1973,3927780238,12704649
1974,4003794172,13190174
1975,4079480606,13382800
1976,4154666864,14286949
1977,4229506059.9999995,15193656
1978,4304533501,16215309
1979,4380506100,17452391
1980,4458003514,18392525
1981,4536996762,19353538
1982,4617386542,20022384
1983,4699569304,20481154
1984,4784011621,20861570
1985,4870921740,21774959
1986,4960567912,22869302
1987,5052522147,24545918
1988,5145426008,25491080
1989,5237441558,25863051
1990,5327231061,27184885
1991,5414289444,28202998
1992,5498919809,29335752
1993,5581597546,30831975
1994,5663150427,32078838
1995,5744212979,34087381
1996,5824891951,34994325
1997,5905045788,36368946
1998,5984793942,37102236
1999,6064239055,38954106
2000,6143493823,40554848
2001,6222626606,42005596
2002,6301773188,43664254
2003,6381185114,44363159
2004,6461159389,45278330
2005,6541907027,47461643
2006,6623517833,48259122
2007,6705946610,51167523
2008,6789088686,53571315
2009,6872767093,55394628
2010,6956823603,56643368
2011,7041194301,58260235
2012,7125828059,59489556
2013,7210581976,60408983
2014,7295290765,61827376
2015,7379797139,63814249
2016,7464022049,65326782
2017,7547858925,66708647
2018,7631091040,68785221
