Food category,UK GHG emissions (kgCO2e/kg),type
Bovine Meat,68.8,Meat
Mutton & Goat Meat,64.2,Meat
Animal Fats,40.1,Meat
Meat,35.9,Meat
Offals,35.9,Meat
"Meat, Other",35.7,Meat
"Fats, Animals, Raw",35.6,Meat
Coffee,10.1,Vegan
Pigmeat,7.9,Meat
Cephalopods,5.4,Meat
Crustaceans,5.4,Meat
Demersal Fish,5.4,Meat
"Fish, Seafood",5.4,Meat
Freshwater Fish,5.4,Meat
"Marine Fish, Other",5.4,Meat
Pelagic Fish,5.4,Meat
Poultry Meat,5.4,Meat
Eggs,4.9,Vegetarian
Olive Oil,4.5,Vegan
Olives,4.5,Vegan
Sesameseed,4.2,Vegan
Sesameseed Oil,4.2,Vegan
Rice (Milled Equivalent),3.9,Vegan
Barley,3.8,Vegan
Beer,3.8,Vegan
