"Year","Item","Head"
1961,"beef and buffalo meat",28755714
1961,"meat indigenous, ass",19452
1961,"meat indigenous, bird nes",7502
1961,"meat indigenous, buffalo",1004696
1961,"meat indigenous, camel",135957
1961,"meat indigenous, cattle",27695830
1961,"meat indigenous, chicken",7531790
1961,"meat indigenous, duck",335924
1961,"meat indigenous, geese",149760
1961,"meat indigenous, goat",1101831
1961,"meat indigenous, horse",551131
1961,"meat indigenous, mule",9469
1961,"meat indigenous, other camelids",26704
1961,"meat indigenous, pig",24760707
1961,"meat indigenous, poultry",8922991
1961,"meat indigenous, rabbit",396115
1961,"meat indigenous, rodents",20690
1961,"meat indigenous, sheep",4960006
1961,"meat indigenous, total",71325556
1961,"meat indigenous, turkey",898015
1961,"meat nes",875179
1961,"meat, ass",19201
1961,"meat, bird nes",10002
1961,"meat, buffalo",1071154
1961,"meat, camel",123306
1961,"meat, cattle",27684560
1961,"meat, chicken",7555908
1961,"meat, duck",335922
1961,"meat, game",844797
1961,"meat, goat",1101886
1961,"meat, goose and guinea fowl",149761
1961,"meat, horse",559570
1961,"meat, mule",9496
1961,"meat, other camelids",26702
1961,"meat, other rodents",20660
1961,"meat, pig",24748623
1961,"meat, poultry",8949668
1961,"meat, rabbit",397062
1961,"meat, sheep",4930306
1961,"meat, total",71362169
1961,"meat, turkey",898076
1961,"sheep and goat meat",6032191
1962,"beef and buffalo meat",30307673
1962,"meat indigenous, ass",22067
1962,"meat indigenous, bird nes",7622
1962,"meat indigenous, buffalo",1034090
1962,"meat indigenous, camel",139777
1962,"meat indigenous, cattle",29143796
1962,"meat indigenous, chicken",7846920
1962,"meat indigenous, duck",346047
1962,"meat indigenous, geese",156708
1962,"meat indigenous, goat",1131035
1962,"meat indigenous, horse",523898
1962,"meat indigenous, mule",11826
1962,"meat indigenous, other camelids",29848
1962,"meat indigenous, pig",26079815
1962,"meat indigenous, poultry",9166542
1962,"meat indigenous, rabbit",394154
1962,"meat indigenous, rodents",20853
1962,"meat indigenous, sheep",5053225
1962,"meat indigenous, total",74527463
1962,"meat indigenous, turkey",809246
1962,"meat nes",938240
1962,"meat, ass",21829
1962,"meat, bird nes",10222
1962,"meat, buffalo",1104344
1962,"meat, camel",126997
1962,"meat, cattle",29203329
1962,"meat, chicken",7884451
1962,"meat, duck",346045
1962,"meat, game",838297
1962,"meat, goat",1127134
1962,"meat, goose and guinea fowl",156708
1962,"meat, horse",537876
1962,"meat, mule",11593
1962,"meat, other camelids",27436
1962,"meat, other rodents",20820
1962,"meat, pig",26055878
1962,"meat, poultry",9205767
1962,"meat, rabbit",395076
1962,"meat, sheep",5039647
1962,"meat, total",74654264
1962,"meat, turkey",808341
1962,"sheep and goat meat",6166781
1963,"beef and buffalo meat",31976185
1963,"meat indigenous, ass",21656
1963,"meat indigenous, bird nes",7593
1963,"meat indigenous, buffalo",1042445
1963,"meat indigenous, camel",156328
1963,"meat indigenous, cattle",30739548
1963,"meat indigenous, chicken",8337377
1963,"meat indigenous, duck",366767
1963,"meat indigenous, geese",157749
1963,"meat indigenous, goat",1131046
1963,"meat indigenous, horse",522442
1963,"meat indigenous, mule",14380
1963,"meat indigenous, other camelids",24330
1963,"meat indigenous, pig",27819596
1963,"meat indigenous, poultry",9711570
1963,"meat indigenous, rabbit",401504
1963,"meat indigenous, rodents",21018
1963,"meat indigenous, sheep",5052205
1963,"meat indigenous, total",78423689
1963,"meat indigenous, turkey",842085
1963,"meat nes",903831
1963,"meat, ass",21377
1963,"meat, bird nes",10293
1963,"meat, buffalo",1120445
1963,"meat, camel",131899
1963,"meat, cattle",30855740
1963,"meat, chicken",8372615
1963,"meat, duck",366765
1963,"meat, game",861792
1963,"meat, goat",1125275
1963,"meat, goose and guinea fowl",157749
1963,"meat, horse",541542
1963,"meat, mule",12062
1963,"meat, other camelids",28595
1963,"meat, other rodents",20985
1963,"meat, pig",28017011
1963,"meat, poultry",9749453
1963,"meat, rabbit",402421
1963,"meat, sheep",5038051
1963,"meat, total",78830480
1963,"meat, turkey",842031
1963,"sheep and goat meat",6163326
1964,"beef and buffalo meat",32437146
1964,"meat indigenous, ass",22948
1964,"meat indigenous, bird nes",7718
1964,"meat indigenous, buffalo",1080788
1964,"meat indigenous, camel",142788
1964,"meat indigenous, cattle",31144060
1964,"meat indigenous, chicken",8631131
1964,"meat indigenous, duck",381958
1964,"meat indigenous, geese",167636
1964,"meat indigenous, goat",1148462
1964,"meat indigenous, horse",543508
1964,"meat indigenous, mule",18305
1964,"meat indigenous, other camelids",27970
1964,"meat indigenous, pig",28684001
1964,"meat indigenous, poultry",10092473
1964,"meat indigenous, rabbit",403438
1964,"meat indigenous, rodents",21068
1964,"meat indigenous, sheep",5031119
1964,"meat indigenous, total",80158822
1964,"meat indigenous, turkey",904029
1964,"meat nes",912869
1964,"meat, ass",22618
1964,"meat, bird nes",10518
1964,"meat, buffalo",1160552
1964,"meat, camel",135504
1964,"meat, cattle",31276594
1964,"meat, chicken",8677496
1964,"meat, duck",381957
1964,"meat, game",885025
1964,"meat, goat",1141659
1964,"meat, goose and guinea fowl",167644
1964,"meat, horse",574611
1964,"meat, mule",12824
1964,"meat, other camelids",30840
1964,"meat, other rodents",21055
1964,"meat, pig",28678415
1964,"meat, poultry",10141507
1964,"meat, rabbit",403875
1964,"meat, sheep",5016465
1964,"meat, total",80414414
1964,"meat, turkey",903893
1964,"sheep and goat meat",6158124
1965,"beef and buffalo meat",33040548
1965,"meat indigenous, ass",25996
1965,"meat indigenous, bird nes",7689
1965,"meat indigenous, buffalo",1099395
1965,"meat indigenous, camel",150542
1965,"meat indigenous, cattle",31775297
1965,"meat indigenous, chicken",9365223
1965,"meat indigenous, duck",402148
1965,"meat indigenous, geese",181527
1965,"meat indigenous, goat",1181381
1965,"meat indigenous, horse",532431
1965,"meat indigenous, mule",17494
1965,"meat indigenous, other camelids",16908
1965,"meat indigenous, pig",31279297
1965,"meat indigenous, poultry",10910644
1965,"meat indigenous, rabbit",408788
1965,"meat indigenous, rodents",21155
1965,"meat indigenous, sheep",5063232
1965,"meat indigenous, total",84265087
1965,"meat indigenous, turkey",954057
1965,"meat nes",884595
1965,"meat, ass",25698
1965,"meat, bird nes",10589
1965,"meat, buffalo",1182078
1965,"meat, camel",143850
1965,"meat, cattle",31858470
1965,"meat, chicken",9414814
1965,"meat, duck",402146
1965,"meat, game",897932
1965,"meat, goat",1172643
1965,"meat, goose and guinea fowl",181527
1965,"meat, horse",553295
1965,"meat, mule",12546
1965,"meat, other camelids",16945
1965,"meat, other rodents",21120
1965,"meat, pig",31285284
1965,"meat, poultry",10962069
1965,"meat, rabbit",409203
1965,"meat, sheep",5039501
1965,"meat, total",84465228
1965,"meat, turkey",952993
1965,"sheep and goat meat",6212144
1966,"beef and buffalo meat",34754098
1966,"meat indigenous, ass",26937
1966,"meat indigenous, bird nes",7543
1966,"meat indigenous, buffalo",1114288
1966,"meat indigenous, camel",169331
1966,"meat indigenous, cattle",33502126
1966,"meat indigenous, chicken",9943187
1966,"meat indigenous, duck",417097
1966,"meat indigenous, geese",187320
1966,"meat indigenous, goat",1211115
1966,"meat indigenous, horse",501815
1966,"meat indigenous, mule",14158
1966,"meat indigenous, other camelids",16805
1966,"meat indigenous, pig",32387234
1966,"meat indigenous, poultry",11626601
1966,"meat indigenous, rabbit",421320
1966,"meat indigenous, rodents",20949
1966,"meat indigenous, sheep",5258813
1966,"meat indigenous, total",88066460
1966,"meat indigenous, turkey",1071454
1966,"meat nes",883600
1966,"meat, ass",26732
1966,"meat, bird nes",10543
1966,"meat, buffalo",1199698
1966,"meat, camel",155409
1966,"meat, cattle",33554401
1966,"meat, chicken",9998587
1966,"meat, duck",417095
1966,"meat, game",911367
1966,"meat, goat",1207492
1966,"meat, goose and guinea fowl",187353
1966,"meat, horse",514619
1966,"meat, mule",10798
1966,"meat, other camelids",16843
1966,"meat, other rodents",20932
1966,"meat, pig",32412805
1966,"meat, poultry",11682834
1966,"meat, rabbit",421680
1966,"meat, sheep",5110365
1966,"meat, total",88129575
1966,"meat, turkey",1069256
1966,"sheep and goat meat",6317857
1967,"beef and buffalo meat",36497312
1967,"meat indigenous, ass",27591
1967,"meat indigenous, bird nes",6593
1967,"meat indigenous, buffalo",1141209
1967,"meat indigenous, camel",170804
1967,"meat indigenous, cattle",35232867
1967,"meat indigenous, chicken",10499199
1967,"meat indigenous, duck",433902
1967,"meat indigenous, geese",200153
1967,"meat indigenous, goat",1228230
1967,"meat indigenous, horse",491290
1967,"meat indigenous, mule",11313
1967,"meat indigenous, other camelids",16358
1967,"meat indigenous, pig",33847027
1967,"meat indigenous, poultry",12320666
1967,"meat indigenous, rabbit",435303
1967,"meat indigenous, rodents",20837
1967,"meat indigenous, sheep",5289210
1967,"meat indigenous, total",92093022
1967,"meat indigenous, turkey",1180818
1967,"meat nes",921146
1967,"meat, ass",27352
