Year,Head
1961,24653440
1962,25158143
1963,25712452
1964,26901977
1965,28591131
1966,30385727
1967,31486320
1968,32133510
1969,33263302
1970,34981376
1971,36618375
1972,38490100
1973,40030940
1974,42021240
1975,42708738
1976,45285581
1977,46796522
1978,48774896
1979,50718116
1980,51938989
1981,52757496
1982,54442774
1983,55920955
1984,57460602
1985,59235447
1986,60232613
1987,62192370
1988,64130621
1989,65042946
1990,66816228
1991,64392900
1992,63445557
1993,64438071
1994,65980386
1995,66761446
1996,68289555
1997,69755290
1998,71348609
1999,73149331
2000,75731616
2001,77443108
2002,79094155
2003,80322104
2004,82806313
2005,85406271
2006,87108053
2007,88927623
2008,90305541
2009,91237393
2010,93768721
2011,94495723
2012,97046814
2013,100009779
2014,103770582
