Area,Item,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
Afghanistan,"butter and ghee, sheep milk",Production,tonnes,4104,4124,4415,4725,4880,4421,4725,4725,4725,4388,3510,3240,3814,4253,4725,4860,4826,4820,4961,5083,5603,5488,5535,4725,3825,2813,2925,3375,3825,4782,4793,4556,4388,4495,4253,4725,5130,5468,5940,5063,4725,2970,3038,3443,3645,3105,4523,4410,4455,4500,4770,4748,4928,4867
Afghanistan,"butter, cow milk",Production,tonnes,7000,7000,8000,8000,9000,10000,11000,11660,11660,10000,9600,10300,11200,11600,11680,12000,10450,10650,10880,11120,11120,11120,12000,12000,10000,6000,7200,7200,7200,11200,12000,12800,15300,18900,22000,25200,27600,28600,33000,26403,16006,32022,29670,30368,29324,27973,29088,28292,28694,28501,28478,30321,30795,29477
Afghanistan,cheese of goat mlk,Production,tonnes,3150,3150,3600,3600,4050,4050,4500,4860,4860,4140,3330,3240,3960,3960,3960,4050,4140,4140,4320,4320,4410,4410,4950,4410,3780,3150,3600,3960,4410,4590,5040,5220,5670,6120,6300,7560,9000,10800,12150,9963,8730,11106,9090,10350,9450,9900,10170,10152,10170,10080,10800,10620,10134,10188
Afghanistan,"cheese, sheep milk",Production,tonnes,10944,10998,11772,12600,13014,11790,12600,12600,12600,11700,9360,8640,10170,11340,12600,12960,12870,12852,13230,13554,14940,14634,14760,12600,10201,7501,7799,9000,10201,12753,12780,12150,11700,11986,11340,12600,13680,14580,15840,13500,12600,7920,8100,9180,9720,8280,12060,11760,11880,12000,12720,12660,13140,12978
Afghanistan,"milk, skimmed cow",Production,tonnes,131600,131600,150400,150400,169200,188000,206800,219208,219208,188000,180480,193640,210560,218080,219584,225600,196460,200220,204544,209056,209056,209056,225600,225600,188000,112800,135360,135360,135360,210560,225600,240640,287640,355320,413600,473760,518880,537680,620400,496374,300908,602019,557792,570914,551295,525901,546862,531883,539444,535811,535382,570038,578952,554164
Afghanistan,silk raw,Production,tonnes,50,50,50,50,50,50,50,50,45,45,44,34,50,50,50,110,50,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Afghanistan,butter and ghee,Production,tonnes,11104,11124,12415,12725,13880,14421,15725,16385,16385,14388,13110,13540,15014,15853,16405,16860,15276,15470,15841,16203,16723,16608,17535,16725,13825,8813,10125,10575,11025,15982,16793,17356,19688,23395,26253,29925,32730,34068,38940,31465,20731,34992,32707,33810,32969,31078,33611,32702,33149,33001,33248,35069,35723,34343
Afghanistan,cheese (all kinds),Production,tonnes,14094,14148,15372,16200,17064,15840,17100,17460,17460,15840,12690,11880,14130,15300,16560,17010,17010,16992,17550,17874,19350,19044,19710,17010,13981,10651,11399,12960,14611,17343,17820,17370,17370,18106,17640,20160,22680,25380,27990,23463,21330,19026,17190,19530,19170,18180,22230,21912,22050,22080,23520,23280,23274,23166
Albania,"butter, cow milk",Production,tonnes,880,900,960,1000,1100,1150,1300,1350,1450,1650,1950,2000,2100,2200,2500,2800,3350,3400,3550,3650,3650,3600,3700,3700,3800,3800,3900,3900,3900,2382,1800,1500,1100,1000,950,1250,900,680,850,800,970,762,800,1000,1500,2000,3532,2517,2780,3100,3200,3500,3700,4500
Albania,cheese of goat mlk,Production,tonnes,944,944,700,500,420,400,500,600,700,700,800,700,800,900,1000,1200,1300,1300,1400,1100,1300,1500,1800,2000,1800,1900,1700,1600,1500,1500,1000,500,500,600,700,1000,1000,1000,1000,1050,1050,1050,1050,1050,1050,1000,1000,1000,1000,1000,1000,1000,1000,1000
