Year,Item,Head
1961,beef and buffalo meat,128248631
1961,"meat indigenous, ass",108330
1961,"meat indigenous, bird nes",37522
1961,"meat indigenous, buffalo",4856713
1961,"meat indigenous, camel",803619
1961,"meat indigenous, cattle",123361999
1961,"meat indigenous, chicken",33398993
1961,"meat indigenous, duck",1652648
1961,"meat indigenous, geese",744768
1961,"meat indigenous, goat",5896053
1961,"meat indigenous, horse",2593875
1961,"meat indigenous, mule",47345
1961,"meat indigenous, other camelids",133520
1961,"meat indigenous, pig",111311656
1961,"meat indigenous, poultry",39538858
1961,"meat indigenous, rabbit",1905619
1961,"meat indigenous, rodents",103450
1961,"meat indigenous, sheep",22232169
1961,"meat indigenous, total",321490302
1961,"meat indigenous, turkey",3704923
1961,meat nes,4243754
1961,"meat, ass",106355
1961,"meat, bird nes",50022
1961,"meat, buffalo",5210143
1961,"meat, camel",703241
1961,"meat, cattle",123038487
1961,"meat, chicken",33523744
1961,"meat, duck",1652644
1961,"meat, game",4353365
1961,"meat, goat",5873545
1961,"meat, goose and guinea fowl",744769
1961,"meat, horse",2624686
1961,"meat, mule",47480
1961,"meat, other camelids",133510
1961,"meat, other rodents",103300
1961,"meat, pig",111221958
1961,"meat, poultry",39676342
1961,"meat, rabbit",1910353
1961,"meat, sheep",21984816
1961,"meat, total",321231330
1961,"meat, turkey",3705167
1961,sheep and goat meat,27858362
1962,beef and buffalo meat,134961936
1962,"meat indigenous, ass",122257
1962,"meat indigenous, bird nes",38122
1962,"meat indigenous, buffalo",4996239
1962,"meat indigenous, camel",829743
1962,"meat indigenous, cattle",129538086
1962,"meat indigenous, chicken",34900762
1962,"meat indigenous, duck",1704625
1962,"meat indigenous, geese",780064
1962,"meat indigenous, goat",6052230
1962,"meat indigenous, horse",2449608
1962,"meat indigenous, mule",59130
1962,"meat indigenous, other camelids",149240
1962,"meat indigenous, pig",117295101
1962,"meat indigenous, poultry",40773539
1962,"meat indigenous, rabbit",1902122
1962,"meat indigenous, rodents",104265
1962,"meat indigenous, sheep",22636358
1962,"meat indigenous, total",335761371
1962,"meat indigenous, turkey",3349980
1962,meat nes,4514402
1962,"meat, ass",120347
1962,"meat, bird nes",51122
1962,"meat, buffalo",5366225
1962,"meat, camel",726124
1962,"meat, cattle",129595712
1962,"meat, chicken",35082787
1962,"meat, duck",1704620
1962,"meat, game",4339055
1962,"meat, goat",6008937
1962,"meat, goose and guinea fowl",780064
1962,"meat, horse",2509379
1962,"meat, mule",57965
1962,"meat, other camelids",137180
1962,"meat, other rodents",104100
1962,"meat, pig",117154416
1962,"meat, poultry",40964946
1962,"meat, rabbit",1906734
1962,"meat, sheep",22475815
1962,"meat, total",335981327
1962,"meat, turkey",3346362
1962,sheep and goat meat,28484749
1963,beef and buffalo meat,141896066
1963,"meat indigenous, ass",120433
1963,"meat indigenous, bird nes",37978
1963,"meat indigenous, buffalo",5046155
1963,"meat indigenous, camel",944160
1963,"meat indigenous, cattle",136127713
1963,"meat indigenous, chicken",37145039
1963,"meat indigenous, duck",1805320
1963,"meat indigenous, geese",785353
1963,"meat indigenous, goat",6054924
1963,"meat indigenous, horse",2417622
1963,"meat indigenous, mule",71900
1963,"meat indigenous, other camelids",121650
1963,"meat indigenous, pig",125692050
1963,"meat indigenous, poultry",43265061
1963,"meat indigenous, rabbit",1935107
1963,"meat indigenous, rodents",105090
1963,"meat indigenous, sheep",22658359
1963,"meat indigenous, total",353418791
1963,"meat indigenous, turkey",3491377
1963,meat nes,4400435
1963,"meat, ass",118318
1963,"meat, bird nes",51478
1963,"meat, buffalo",5449917
1963,"meat, camel",758166
1963,"meat, cattle",136446147
1963,"meat, chicken",37318818
1963,"meat, duck",1805312
1963,"meat, game",4458150
1963,"meat, goat",6005998
1963,"meat, goose and guinea fowl",785353
1963,"meat, horse",2520857
1963,"meat, mule",60310
1963,"meat, other camelids",142975
1963,"meat, other rodents",104925
1963,"meat, pig",126476790
1963,"meat, poultry",43452120
1963,"meat, rabbit",1939691
1963,"meat, sheep",22489390
1963,"meat, total",354824185
1963,"meat, turkey",3491163
1963,sheep and goat meat,28495386
1964,beef and buffalo meat,143681873
1964,"meat indigenous, ass",128437
1964,"meat indigenous, bird nes",38603
1964,"meat indigenous, buffalo",5226407
1964,"meat indigenous, camel",839793
1964,"meat indigenous, cattle",137671888
1964,"meat indigenous, chicken",38652020
1964,"meat indigenous, duck",1877336
1964,"meat indigenous, geese",833666
1964,"meat indigenous, goat",6166505
1964,"meat indigenous, horse",2512828
1964,"meat indigenous, mule",91525
1964,"meat indigenous, other camelids",139850
1964,"meat indigenous, pig",130960142
1964,"meat indigenous, poultry",45147587
1964,"meat indigenous, rabbit",1946827
1964,"meat indigenous, rodents",105340
1964,"meat indigenous, sheep",22656700
1964,"meat indigenous, total",362659578
1964,"meat indigenous, turkey",3745973
1964,meat nes,4474837
1964,"meat, ass",126067
1964,"meat, bird nes",52603
1964,"meat, buffalo",5645013
1964,"meat, camel",773599
1964,"meat, cattle",138036863
1964,"meat, chicken",38876473
1964,"meat, duck",1877331
1964,"meat, game",4590915
1964,"meat, goat",6111028
1964,"meat, goose and guinea fowl",833698
1964,"meat, horse",2665422
1964,"meat, mule",64120
1964,"meat, other camelids",154200
1964,"meat, other rodents",105275
1964,"meat, pig",130921954
1964,"meat, poultry",45385522
1964,"meat, rabbit",1949010
1964,"meat, sheep",22484834
1964,"meat, total",363488668
1964,"meat, turkey",3745426
1964,sheep and goat meat,28595867
1965,beef and buffalo meat,146193795
1965,"meat indigenous, ass",145814
1965,"meat indigenous, bird nes",38459
1965,"meat indigenous, buffalo",5317494
1965,"meat indigenous, camel",883720
1965,"meat indigenous, cattle",140284579
1965,"meat indigenous, chicken",41855522
1965,"meat indigenous, duck",1981336
1965,"meat indigenous, geese",903223
1965,"meat indigenous, goat",6348764
1965,"meat indigenous, horse",2458668
1965,"meat indigenous, mule",87470
1965,"meat indigenous, other camelids",84540
1965,"meat indigenous, pig",142900218
1965,"meat indigenous, poultry",48732578
1965,"meat indigenous, rabbit",1976221
1965,"meat indigenous, rodents",105775
1965,"meat indigenous, sheep",22849770
1965,"meat indigenous, total",381226172
1965,"meat indigenous, turkey",3954038
1965,meat nes,4384299
1965,"meat, ass",143604
1965,"meat, bird nes",52959
1965,"meat, buffalo",5750131
1965,"meat, camel",812810
1965,"meat, cattle",140443660
1965,"meat, chicken",42101534
1965,"meat, duck",1981330
1965,"meat, game",4666280
1965,"meat, goat",6279030
1965,"meat, goose and guinea fowl",903222
1965,"meat, horse",2567205
1965,"meat, mule",62730
1965,"meat, other camelids",84725
1965,"meat, other rodents",105600
1965,"meat, pig",142913075
1965,"meat, poultry",48988827
1965,"meat, rabbit",1978292
1965,"meat, sheep",22635652
1965,"meat, total",381815909
1965,"meat, turkey",3949783
1965,sheep and goat meat,28914686
1966,beef and buffalo meat,153992620
1966,"meat indigenous, ass",152177
1966,"meat indigenous, bird nes",37729
1966,"meat indigenous, buffalo",5394958
1966,"meat indigenous, camel",1007372
1966,"meat indigenous, cattle",148152399
1966,"meat indigenous, chicken",44339068
1966,"meat indigenous, duck",2058715
1966,"meat indigenous, geese",932847
1966,"meat indigenous, goat",6517074
1966,"meat indigenous, horse",2325850
1966,"meat indigenous, mule",70790
1966,"meat indigenous, other camelids",84025
1966,"meat indigenous, pig",147910134
1966,"meat indigenous, poultry",51817353
1966,"meat indigenous, rabbit",2037223
1966,"meat indigenous, rodents",104745
1966,"meat indigenous, sheep",23751640
1966,"meat indigenous, total",398481146
1966,"meat indigenous, turkey",4449011
1966,meat nes,4421645
1966,"meat, ass",150432
1966,"meat, bird nes",52729
1966,"meat, buffalo",5839956
1966,"meat, camel",885141
1966,"meat, cattle",148152667
1966,"meat, chicken",44609900
1966,"meat, duck",2058704
1966,"meat, game",4733785
1966,"meat, goat",6472041
1966,"meat, goose and guinea fowl",933009
1966,"meat, horse",2390915
1966,"meat, mule",53990
1966,"meat, other camelids",84215
1966,"meat, other rodents",104660
1966,"meat, pig",148016629
1966,"meat, poultry",52094607
1966,"meat, rabbit",2039024
1966,"meat, sheep",23026231
1966,"meat, total",398465906
1966,"meat, turkey",4440274
1966,sheep and goat meat,29498261
1967,beef and buffalo meat,161739904
1967,"meat indigenous, ass",157113
1967,"meat indigenous, bird nes",32979
1967,"meat indigenous, buffalo",5535839
1967,"meat indigenous, camel",1013927
1967,"meat indigenous, cattle",155798622
